TXN-00062268,617.6
TXN-00024664,138.77
TXN-00019950,461.92
TXN-00045231,637.76
TXN-00063842,832.87
TXN-00031376,390.83
TXN-00056421,68.64
TXN-00089863,652.54
TXN-00003991,954.63
TXN-00075197,777.7
TXN-00030470,152.19
TXN-00079975,128.93
TXN-00026303,677.07
TXN-00086213,320.65
TXN-00032496,773.5
TXN-00025357,942.86
TXN-00038687,400.0
TXN-00000277,585.86
TXN-00078076,619.35
TXN-00085364,237.93
TXN-00074648,794.71
TXN-00093537,193.69
TXN-00083260,302.53
TXN-00088350,528.11
TXN-00095993,184.93
TXN-00075723,453.53
TXN-00013667,518.16
TXN-00067570,898.65
TXN-00064066,473.5
TXN-00096873,523.66
TXN-00031570,436.63
TXN-00046411,708.48
TXN-00016462,128.12
CORRUPT_DATA_#@!,327.8
TXN-00092160,316.43
TXN-00076711,772.2
TXN-00091736,935.22
TXN-00012516,543.97
TXN-00077157,859.91
TXN-00048976,213.82
TXN-00008585,482.3
TXN-00075418,614.9
TXN-00098266,447.69
TXN-00082138,761.84
TXN-00093810,776.99
TXN-00018279,941.06
TXN-00005061,891.57
TXN-00080838,180.2
TXN-00022516,851.83
TXN-00068741,665.36
TXN-00055337,153.5
CORRUPT_DATA_#@!,999.35
TXN-00073579,683.0
TXN-00020859,951.8
TXN-00033860,403.19
TXN-00075742,143.55
TXN-00026498,611.29
TXN-00002595,620.42
TXN-00038664,886.57
TXN-00033851,311.52
TXN-00080798,57.28
TXN-00039837,82.08
TXN-00049556,106.92
TXN-00075276,479.42
TXN-00050864,781.1
TXN-00047627,536.37
TXN-00029950,934.02
TXN-00057962,499.13
TXN-00088272,993.0
TXN-00066530,666.64
TXN-00070900,121.98
TXN-00088018,962.49
TXN-00049010,199.72
TXN-00041045,420.16
TXN-00021319,527.96
TXN-00045879,30.78
TXN-00054754,264.94
TXN-00018323,47.03
TXN-00090268,665.58
TXN-00017780,439.99
TXN-00081886,601.18
TXN-00060377,808.66
TXN-00050160,865.42
CORRUPT_DATA_#@!,232.13
TXN-00092124,951.84
TXN-00040122,639.41
TXN-00047144,641.15
TXN-00068821,435.7
TXN-00098264,391.33
TXN-00047527,823.6
TXN-00001485,713.25
TXN-00079056,649.49
TXN-00020599,442.83
TXN-00020538,773.16
TXN-00075233,979.07
TXN-00047607,382.02
TXN-00081989,964.93
TXN-00086235,166.41
TXN-00034619,380.82
TXN-00014795,48.18
TXN-00080801,891.03
TXN-00067173,851.46
TXN-00085995,560.24
TXN-00089590,700.58
TXN-00039339,967.25
TXN-00005805,399.18
TXN-00021761,701.39
TXN-00068590,274.82
TXN-00057797,638.42
TXN-00001241,398.84
TXN-00037259,235.59
